Plot,Repeat,PAR,A,Ci,gs,Flag_removal
1001,1,1800.083862,9.576868363,187.9230911,0.077851815,
1001,1,1098.932739,9.884530914,192.0320985,0.081461551,
1001,1,498.0666504,8.125768274,228.2799898,0.081813921,
1001,1,299.6442566,7.162259416,241.3757661,0.078420662,
1001,1,148.2950897,5.815058158,252.6324585,0.068606845,
1001,1,50.67652512,2.666991588,313.3731362,0.056472064,
1001,1,50.67652512,2.666991588,313.3731362,0.056472064,
1001,3,1800.45459,3.307077096,271.8075683,0.046857518,
1001,3,1099.115356,5.809362263,212.6518383,0.053117247,
1001,3,500.8366394,3.584669773,287.2607899,0.056462466,
1001,3,300.4320679,3.016505109,307.8548308,0.058923053,
1001,3,151.7227478,2.484080693,319.8208749,0.056521129,
1001,3,51.67870331,0.992578486,356.4285514,0.046822979,
1001,3,51.67870331,0.992578486,356.4285514,0.046822979,
1002,1,1798.6875,17.37272978,206.2718409,0.155191668,
1002,1,1099.971191,16.52356753,225.1185819,0.163242006,
1002,1,499.9071655,13.66260133,264.4822659,0.176086171,
1002,1,300.3214722,10.98152953,286.9314171,0.170709416,
1002,1,148.1422882,6.381184195,328.5175165,0.161700974,
1002,1,50.57859802,2.198164521,368.9309217,0.144086182,
1002,1,50.57859802,2.198164521,368.9309217,0.144086182,
1002,2,1800.012573,2.161553795,307.9705795,0.044545814,
1002,2,1098.772949,1.913289477,321.2179111,0.046587868,
1002,2,500.6207886,1.16737444,346.0385124,0.044581884,
1002,2,300.743866,1.331189103,341.2018985,0.044944861,x
1002,2,151.9400024,1.340071483,340.4749974,0.044116857,x
1002,2,51.92745209,-0.557759745,410.7185747,0.040778383,
1002,2,51.92745209,-0.557759745,410.7185747,0.040778383,
1002,3,1801.994507,13.68179737,233.1731286,0.14559436,x
1002,3,1801.984863,14.08785101,233.0838924,0.149861818,x
1002,3,1801.817505,13.73945363,235.7233139,0.148732312,x
1002,3,1801.771484,13.44041925,238.6127394,0.148290019,x
1002,3,1801.424072,13.23870548,239.4893559,0.147309803,x
1002,3,1801.422729,13.91012254,231.9326172,0.146956891,x
1002,3,1801.380859,14.34430309,228.4119532,0.148102201,x
1002,3,1801.324463,13.73633496,233.2666465,0.146276566,x
1002,3,1801.151001,14.36789133,225.3739616,0.14533653,x
1002,3,1801.146973,13.15204131,239.7066096,0.146075807,x
1002,3,1801.119751,14.88719059,227.8852886,0.15343729,x
1002,3,1801.10144,14.05426424,228.7066988,0.145218246,x
